treatment,dose_uM,replID,plateID,cell_line,timeID,timeAfterExposure,locationID,IntegratedIntensity_GM,MeanIntensity_GM,Cell_count
CDDP,5,1,p53,HepG2 P53-GFP,6,10,B07_2,1.4083424546999634,0.23499313488017268,1230
CDDP,5,1,p53,HepG2 P53-GFP,7,12,B07_1,1.3646704235599043,0.22700286724664812,1112
CDDP,5,1,p53,HepG2 P53-GFP,7,12,B07_2,1.4064762439780198,0.2364727715260068,1248
CDDP,5,1,p53,HepG2 P53-GFP,8,14,B07_1,1.364401215520344,0.23032327149374446,1120
CDDP,5,1,p53,HepG2 P53-GFP,8,14,B07_2,1.4201662469185203,0.23756576768742943,1215
CDDP,5,1,p53,HepG2 P53-GFP,9,16,B07_1,1.3851157408130577,0.23166743670684414,1143
CDDP,5,1,p53,HepG2 P53-GFP,9,16,B07_2,1.4123039299846352,0.2381704936937192,1265
CDDP,5,1,p53,HepG2 P53-GFP,10,18,B07_1,1.380540512433074,0.23126014168219902,1170
CDDP,5,1,p53,HepG2 P53-GFP,10,18,B07_2,1.4056970288464805,0.23923368902359715,1281
CDDP,5,1,p53,HepG2 P53-GFP,11,20,B07_1,1.3957859673301718,0.23442438781045294,1124
CDDP,5,1,p53,HepG2 P53-GFP,11,20,B07_2,1.4308513687709907,0.24117184464140792,1282
CDDP,5,1,p53,HepG2 P53-GFP,12,22,B07_1,1.383700759781744,0.23398598209169164,1153
CDDP,5,1,p53,HepG2 P53-GFP,12,22,B07_2,1.4136359275879145,0.24109095458284777,1307
CDDP,5,2,p53,HepG2 P53-GFP,1,0,D07_1,1.4032374921912263,0.2272884181484921,1132
CDDP,5,2,p53,HepG2 P53-GFP,1,0,D07_2,1.3589583913863115,0.22295694234676317,1247
CDDP,5,2,p53,HepG2 P53-GFP,2,2,D07_1,1.4945064934516377,0.24274222912431917,1165
CDDP,5,2,p53,HepG2 P53-GFP,2,2,D07_2,1.4860076760766983,0.24372683370392959,1283
CDDP,5,2,p53,HepG2 P53-GFP,3,4,D07_1,1.5306157615129585,0.24953074242547213,1180
CDDP,5,2,p53,HepG2 P53-GFP,3,4,D07_2,1.526661321765504,0.2512590466316926,1306
